protein	035_Austin_F0hPC1_a_Slot1-86_1_2725	035_Austin_F0hPC2_a_Slot1-03_1_2726	035_Austin_F0hPC3_a_Slot1-15_1_2727	035_Austin_F0hPP1_a_Slot1-50_1_2722	035_Austin_F0hPP2_a_Slot1-62_1_2723	035_Austin_F0hPP3_a_Slot1-74_1_2724	035_Austin_F24hPC1_a_Slot1-63_1_2731	035_Austin_F24hPC2_a_Slot1-75_1_2732	035_Austin_F24hPC3_a_Slot1-87_1_2733	035_Austin_F24hPP3_a_Slot1-27_1_2728	035_Austin_F24hPP4_a_Slot1-39_1_2729	035_Austin_F24hPP5_a_Slot1-51_1_2730	035_Austin_M0hPC1_a_Slot1-37_1_2711	035_Austin_M0hPC1_b_Slot1-37_1_2752	035_Austin_M0hPC3_a_Slot1-49_1_2712	035_Austin_M0hPC3_b_Slot1-49_1_2753	035_Austin_M0hPC4_a_Slot1-61_1_2713	035_Austin_M0hPC4_b_Slot1-61_1_2754	035_Austin_M0hPP1_a_Slot1-01_1_2708	035_Austin_M0hPP1_b_Slot1-01_1_2749	035_Austin_M0hPP2_a_Slot1-13_1_2709	035_Austin_M0hPP2_b_Slot1-13_1_2750	035_Austin_M0hPP3_a_Slot1-25_1_2710	035_Austin_M0hPP3_b_Slot1-25_1_2751	035_Austin_M24hPC3_a_Slot1-14_1_2718	035_Austin_M24hPC4_a_Slot1-26_1_2719	035_Austin_M24hPC5_a_Slot1-38_1_2721	035_Austin_M24hPP1_a_Slot1-73_1_2715	035_Austin_M24hPP3_a_Slot1-85_1_2716	035_Austin_M24hPP5_a_Slot1-02_1_2717
A2A8Z1	159359.5462059803	142113.6908448142	186803.11775789547	179850.69418660857	160267.72359105197	143322.58364378256	165891.47941220453	172435.27769042298	162523.2524919499	140592.17249907294	145185.2095430569	163736.48329806863	151630.231077316	147664.58986145636	123382.44628975051	119227.37053023903	120177.19909242535	116767.1387240622	139345.5947795051	140113.55220355152	115341.85501611317	126737.54204651304	114990.7192922111	133223.92126839075	124626.37862698748	131191.25517387138	136906.06261111898	108176.5824606467	120591.04002016156	120912.3189869809
A2ABV5	5636.333379646983	0.0	0.0	3699.2718763293624	0.0	3786.659464627142	3099.2251835934658	0.0	2354.365452405924	3038.069769033437	3854.294202718319	0.0	0.0	2792.445884882047	0.0	0.0	0.0	0.0	2537.01046366937	3742.6175914105265	2520.3466076818504	4056.9456558518136	0.0	3743.6874951087843	0.0	2721.4282012038566	5194.929630556761	0.0	2847.361669264389	3475.6999810502252
A2ADA5	26901.289450672804	22870.82566693276	61045.902214233516	20385.158077840217	16870.001966244334	16621.77914577651	18984.292149983874	22868.01014242962	12349.349425748991	16473.332860952378	14155.394341415697	15266.390421328702	36477.441170308826	19985.83005870029	58719.667380349034	39534.383308962686	42595.39486371102	19705.278148225996	11722.22745616977	11749.509812163178	19579.328282076447	16934.171744183433	31103.186976861212	19959.73308499052	26675.50798084448	16767.718046906328	18415.679324781973	16104.733775246037	20919.68332496226	18339.477422625267
A2ADY9	391673.8868466051	324307.8429468529	353407.9884639596	384533.4780991761	313857.3066802716	288449.9215091661	376405.466625018	422800.9915067932	384665.1769531082	269589.8216612454	317519.57800496084	333962.1925084252	302369.15216496197	255490.826570611	553660.3232769588	542811.402120384	920656.8947050563	919709.1477708895	396639.8394115277	377158.94208195555	369670.7118367612	360253.0878318779	388279.0092576475	350737.4704508782	345764.11432514933	374976.83714672714	318247.15484347794	382719.5975958108	288611.91426731646	338670.92705245386
A2AGH6	5691.323034171619	6731.147885029645	7800.625201847474	8504.30892148538	5148.771254135443	4769.189378549102	7519.63674841577	6103.534583942571	7638.942420985906	5055.4954824774495	5040.0517012042355	8619.698787232512	7922.937923614602	5525.564368951043	0.0	4435.879530565246	4027.21571897379	7002.876864938056	6110.627273753338	6086.063877251834	7518.698738928387	0.0	4412.5193449026865	5070.3693622230485	0.0	4040.2455289461554	4908.239317200331	3461.230384451283	5300.00124567539	8473.868171959779
A2AGT5	106980.4504608862	120987.83224273268	127624.06255406626	89060.28412074782	102695.03378277263	84172.09931000847	110143.98856313899	126881.61337129324	104766.44143627351	109863.93414419137	107251.33912260231	100854.51266883827	124577.38667082712	136267.1812940067	121484.61914964048	144949.34532927952	130581.86519215441	145642.50264330194	97018.64338226792	109605.08997543549	120220.75243480934	116700.53491631371	102447.67208707126	113666.21283244666	96118.03359975426	105141.25992559611	98119.76067097225	110743.63969970505	87980.49553751257	104848.05140268961
A2AH22	2771.0804155317705	3443.1861712429227	4140.901445516019	1793.3417518823426	0.0	2587.7057068581066	0.0	2009.2257529188873	0.0	2466.325184619618	0.0	2959.231530238114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1839.642056730055	3281.8754581973067	3244.2312890168078	0.0	0.0	2102.5890805620484	0.0	0.0	0.0	0.0	0.0
A2AIL4	5863.025710972192	15228.43424594717	17475.11787479877	6394.0962980879685	15607.156513461705	12210.047839666715	20414.63714055538	16365.83217915804	36351.334416802514	18439.479102196183	18419.075440235298	12773.52677346894	23027.71399396256	28154.097961123574	18229.454144513904	22199.009958775863	15396.083121414578	16597.122617115496	17256.353315153472	15100.088406921095	18815.68151528375	26635.257882218488	16722.187298737656	20086.845400579085	21645.70342445546	20111.866008661127	19188.51154766987	12154.557585212733	17835.605604089083	12580.072259112407
A2AIV2	7507.591652332232	7351.327296229619	8870.260946332093	0.0	8889.146601771232	8628.302544762928	7977.086108152013	4591.946465662264	5687.045982536342	5966.773178721482	6670.40631876272	10039.955829434914	9450.177401231187	9147.436324963572	6541.649228781143	6713.0861427309055	8232.570075809843	7242.282484579651	6775.776339168622	7719.975365595516	9359.394969209117	8717.604469419237	7581.831156907326	7250.093066270492	8545.835937062435	9009.041672055197	8826.929316423177	7241.817817702509	8435.762722133179	6955.277498687296
A2AJ15	38837.8305426979	31308.25026314753	24762.760476863936	25069.566109481213	29603.98435540827	27399.266643567364	32468.161983572772	30849.8587921906	26855.94916334854	27535.74554326275	38782.54932237498	21575.09802742974	26658.16956028945	25357.20860806847	24637.730525119227	31933.799357361284	32083.197016926824	28092.401314827275	24773.053791225215	26323.606284812842	21960.112054291432	24805.878063904915	27240.587040762242	28152.235646736226	27707.861047237806	26323.63975322295	22858.995163514992	26007.65579960526	38903.17718200133	23278.215318608392
